content	rank	abrev
viagem	402	vi
senhora	403	sen
aspecto	404	as
artista	405	ar
idade	406	id
aberto	407	ab
conto	408	conto
medico	409	med
capital	410	cap
sobretudo	411	so
entanto	412	ent
cultura	413	cu
escolher	414	esc
conhecimento	415	conh
responder	416	res
pretender	417	pre
populacao	418	pop
estudo	419	est
resposta	420	res
informacao	421	in
comum	422	com
gostar	423	go
superior	424	su
saude	425	sa
capaz	426	cap
porta	427	por
terceiro	428	ter
vender	429	ve
republica	430	rep
matar	431	mat
menor	432	men
especial	433	esp
sul	434	su
cinema	435	ci
pena	436	pen
cor	437	cor
sofrer	438	sof
estrangeiro	439	estr
ar	440	ar
carro	441	car
igual	442	ig
figura	443	fi
interior	444	in
dificuldade	445	dif
decidir	446	dec
negro	447	neg
compreender	448	com
milhao	449	mi
importancia	450	im
produzir	451	prod
livre	452	li
rede	453	red
efeito	454	ef
fechar	455	fe
possibilidade	456	pos
oito	457	oi
principalmente	458	pri
quadro	459	quad
espirito	460	esp
elemento	461	el
base	462	ba
cujo	463	cu
transformar	464	tra
comprar	465	comp
tu	466	tu
apos	467	ap
filha	468	fil
sob	469	sob
referir	470	ref
pedra	471	ped
filme	472	fil
madeira	473	mad
natureza	474	nat
periodo	475	per
presente	476	pres
sete	477	set
recurso	478	rec
levantar	479	le
mandar	480	man
unido	481	u
resultado	482	res
preso	483	pres
reconhecer	484	rec
dirigir	485	dir
tocar	486	to
director	487	dir
irmao	488	ir
ninguem	489	ni
mau	490	mau
simples	491	si
programa	492	prog
construir	493	cons
diverso	494	div
cerca	495	ce
classe	496	cl
conselho	497	cons
amor	498	am
televisao	499	tel
valer	500	va
banda	501	ba
carta	502	car
seguranca	503	seg
vinte	504	vin
quarto	505	quar
diferenca	506	dif
perto	507	per
opiniao	508	op
titulo	509	ti
luta	510	lu
afirmar	511	af
terminar	512	ter
algo	513	alg
peixe	514	pei
atras	515	at
atingir	516	at
interessar	517	in
discutir	518	dis
voz	519	vo
companhia	520	comp
significar	521	si
objecto	522	ob
alguem	523	alg
anterior	524	ant
buscar	525	bu
duvida	526	du
inicio	527	in
materia	528	mat
graca	529	gr
lingua	530	li
enorme	531	eno
americano	532	am
doutor	533	do
julgar	534	ju
frances	535	fr
verde	536	ver
atencao	537	at
nivel	538	ni
criacao	539	cr
verdadeiro	540	v
justica	541	ju
vivo	542	viv
educacao	543	ed
passado	544	pas
evitar	545	ev
ambiente	546	am
guarda	547	gu
economico	548	ec
casar	549	cas
participar	550	part
rico	551	ri
pobre	552	pob
cabo	553	cab
eleicao	554	el
apoio	555	apo
ingles	556	ing
solucao	557	sol
demais	558	dem
maquina	559	maq
trabalhador	560	trab
produto	561	prod
