guerra;guerra;483772;241
musica;música;687422;242
regiao;região;734426;243
baixo;baixo;22496;244
professor;professor;776337767;245
longo;longo;56646;246
accao;acção;22226;247
entender;entender;36836337;248
movimento;movimento;668463686;249
branco;branco;272626;250
processo;processo;77623776;251
ganhar;ganhar;426427;252
arte;arte;2783;253
papel;papel;72735;254
sim;sim;746;255
esperar;esperar;3773727;256
fundo;fundo;38636;257
senhor;senhor;736467;258
numero;número;686376;259
definir;definir;3334647;260
tarde;tarde;82733;261
abrir;abrir;22747;262
sociedade;sociedade;762433233;263
povo;povo;7686;264
forte;forte;36783;265
cabeca;cabeça;222322;266
altura;altura;258872;267
volta;volta;86582;268
condicao;condição;26634226;269
apesar;apesar;273727;270
valor;valor;82567;271
mae;mãe;623;272
servir;servir;737847;273
pagar;pagar;72427;274
causa;causa;22872;275
antigo;antigo;268446;276
maneira;maneira;6263472;277
humano;humano;486266;278
sentido;sentido;7368436;279
permitir;permitir;73764847;280
deus;deus;3387;281
modo;modo;6636;282
gente;gente;43683;283
imagem;imagem;462436;284
epoca;época;37622;285
noite;noite;66483;286
velho;velho;83546;287
cair;cair;2247;288
aquilo;aquilo;278456;289
projecto;projecto;77653286;290
final;final;34625;291
acreditar;acreditar;227334827;292
jornal;jornal;567625;293
razao;razão;72926;294
especie;espécie;3773243;295
junto;junto;58686;296
preciso;preciso;7732476;297
seculo;século;732856;298
precisar;precisar;77324727;299
ler;ler;537;300
dinheiro;dinheiro;34643476;301
talvez;talvez;825839;302
plano;plano;75266;303
nascer;nascer;627237;304
centro;centro;236876;305
partido;partido;7278436;306
descobrir;descobrir;337262747;307
ouvir;ouvir;68847;308
ligar;ligar;54427;309
interesse;interesse;468373773;310
amigo;amigo;26446;311
seguinte;seguinte;73484683;312
termo;termo;83766;313
mudar;mudar;68327;314
linha;linha;54642;315
medida;medida;633432;316
teatro;teatro;832876;317
espaco;espaço;377226;318
animal;animal;264625;319
santo;santo;72686;320
acordo;acordo;226736;321
olhar;olhar;65427;322
necessario;necessário;6323772746;323
jovem;jovem;56836;324
futuro;futuro;388876;325
local;local;56225;326
falta;falta;32582;327
morte;morte;66783;328
politico;político;76548426;329
banco;banco;22626;330
posicao;posição;7674226;331
rua;rua;782;332
dificil;difícil;3434245;333
mercado;mercado;6372236;334
resolver;resolver;73765837;335
caminho;caminho;2264646;336
jogo;jogo;5646;337
estudar;estudar;3788327;338
igreja;igreja;447352;339
formar;formar;367627;340
surgir;surgir;787447;341
lembrar;lembrar;5362727;342
representar;representar;73773736827;343
negocio;negócio;6346246;344
via;via;842;345
semana;semana;736262;346
luz;luz;589;347
contrario;contrário;266872746;348
bastante;bastante;22782683;349
pessoal;pessoal;7377625;350
realidade;realidade;732543233;351
explicar;explicar;39754227;352
mal;mal;625;353
militar;militar;6454827;354
seis;seis;7347;355
empresa;empresa;3677372;356
pe;pé;73;357
perceber;perceber;73723237;358
ajudar;ajudar;258327;359
ordem;ordem;67336;360
defender;defender;33336337;361
ocorrer;ocorrer;6267737;362
principal;principal;774624725;363
assunto;assunto;2778686;364
passo;passo;72776;365
portanto;portanto;76782686;366
actividade;actividade;2284843233;367
aceitar;aceitar;2234827;368
direccao;direcção;34732226;369
necessidade;necessidade;63237743233;370
dez;dez;339;371
ministro;ministro;64647876;372
qualidade;qualidade;782543233;373
realizar;realizar;73254927;374
funcao;função;386226;375
olho;olho;6546;376
respeito;respeito;73773486;377
tirar;tirar;84727;378
cima;cima;2462;379
mar;mar;627;380
natural;natural;6288725;381
costa;costa;26782;382
peca;peça;7322;383
area;área;2732;384
lancar;lançar;526227;385
preco;preço;77326;386
correr;correr;267737;387
experiencia;experiência;39737436242;388
norte;norte;66783;389
principio;princípio;774624746;390
autor;autor;28867;391
curso;curso;28776;392
crescer;crescer;2737237;393
aumentar;aumentar;28636827;394
decisao;decisão;3324726;395
camara;câmara;226272;396
andar;andar;26327;397
sistema;sistema;7478362;398
vontade;vontade;8668233;399
maioria;maioria;6246742;400
acompanhar;acompanhar;2266726427;401
viagem;viagem;842436;402
senhora;senhora;7364672;403
aspecto;aspecto;2773286;404
artista;artista;2784782;405
idade;idade;43233;406
aberto;aberto;223786;407
conto;conto;26686;408
medico;médico;633426;409
capital;capital;2274825;410
sobretudo;sobretudo;762738836;411
entanto;entanto;3682686;412
cultura;cultura;2858872;413
escolher;escolher;37265437;414
conhecimento;conhecimento;266432463686;415
responder;responder;737766337;416
pretender;pretender;773836337;417
populacao;população;767852226;418
estudo;estudo;378836;419
resposta;resposta;73776782;420
informacao;informação;4636762226;421
comum;comum;26686;422
gostar;gostar;467827;423
superior;superior;78737467;424
saude;saúde;72833;425
capaz;capaz;22729;426
porta;porta;76782;427
terceiro;terceiro;83723476;428
vender;vender;836337;429
republica;república;737825422;430
matar;matar;62827;431
menor;menor;63667;432
especial;especial;37732425;433
sul;sul;785;434
cinema;cinema;246362;435
pena;pena;7362;436
cor;cor;267;437
sofrer;sofrer;763737;438
estrangeiro;estrangeiro;37872643476;439
ar;ar;27;440
